,Model,Accuracy,Loss,MAE
0,inceptionv3_adadelta.h5,93.32994818687439%,0.26963121946242746,0.08307112753391266
1,inceptionv3_adam.h5,93.46445202827454%,0.2541049752326624,0.08317513018846512
2,inceptionv3_sgd(nesterov).h5,93.53196620941162%,0.18528343652407542,0.09370039403438568
3,inceptionv3_sgd.h5,93.89876127243042%,0.18455183680706022,0.08807332068681717
4,mobilenetv2_adadelta.h5,92.90125966072083%,0.627463999451866,0.07202573120594025
5,mobilenetv2_adam.h5,93.85613799095154%,0.20978356490350603,0.08029887080192566
6,mobilenetv2_sgd(nesterov).h5,93.84751915931702%,0.18309249590323004,0.08879348635673523
7,mobilenetv2_sgd.h5,94.0185546875%,0.17813911375155178,0.08292245119810104
8,model_adadelta.h5,92.62941479682922%,0.4024958964496716,0.08444234728813171
9,model_adam.h5,94.03126835823059%,0.16885767015316824,0.09271690249443054
10,model_sgd(nesterov).h5,94.03126835823059%,0.1805195936831227,0.08636242896318436
11,model_sgd.h5,83.0755352973938%,0.33578996031529923,0.24991357326507568
12,vgg19_adadelta.h5,93.24369430541992%,0.6247038707301535,0.0686938539147377
13,vgg19_adam.h5,92.76310205459595%,0.5097042681963472,0.0753861516714096
14,vgg19_sgd(nesterov).h5,94.01782155036926%,0.17288783007674222,0.08383359760046005
15,vgg19_sgd.h5,94.00361180305481%,0.1729477868898839,0.08372620493173599
